X Y Z MaximumInscribedSphereRadius EdgeArray0 EdgeArray1 EdgePCoordArray
-8.114466667175293 1201.3787841796875 1564.884521484375 5.305537337120152 75192.0 75192.0 0.0
-8.310914993286133 1201.486328125 1565.7646484375 5.034152979129614 75203.0 75203.0 0.0
-8.889649391174316 1201.7547607421875 1566.748779296875 4.639111639950646 75204.0 75204.0 0.0
-9.034979820251465 1201.784423828125 1566.951171875 4.5361948761174995 75217.0 75217.0 0.0
-8.997027397155762 1201.5897216796875 1568.0943603515625 4.494635638012033 53465.0 53465.0 0.0
-8.859694480895996 1201.55078125 1568.2943115234375 4.550223572250227 75057.0 39649.0 0.8880000000000007
-8.630560874938965 1201.3602294921875 1568.6915283203125 4.582626838171802 74967.0 52587.0 0.4880000000000004
-8.318441390991211 1201.1329345703125 1569.27783203125 4.65899655223467 52674.0 52675.0 0.9640000000000007
-8.28940486907959 1201.1163330078125 1569.3302001953125 4.668392492106783 52675.0 52958.0 0.2440000000000002
-8.228643417358398 1201.0263671875 1569.7513427734375 4.675152963937009 52617.0 52617.0 0.0
-8.228466033935547 1201.0262451171875 1569.752197265625 4.675217818403105 52965.0 52617.0 0.9960000000000008
-8.18437385559082 1200.986572265625 1569.9801025390625 4.691366580461026 52965.0 52965.0 0.0
-8.184162139892578 1200.986328125 1569.9813232421875 4.691483841372223 52903.0 52965.0 0.9840000000000008
-8.171121597290039 1200.9732666015625 1570.0579833984375 4.698695387410859 52903.0 52903.0 0.0
-8.170910835266113 1200.97314453125 1570.0589599609375 4.698812264574908 52943.0 52903.0 0.9960000000000008
-8.118318557739258 1200.9381103515625 1570.3043212890625 4.727914678423179 52943.0 52943.0 0.0
-8.047236442565918 1200.851806640625 1570.6600341796875 4.76419431978784 52517.0 52517.0 0.0
-7.901543617248535 1200.6854248046875 1571.1044921875 4.770805972590045 52975.0 52975.0 0.0
-7.758520126342773 1200.6156005859375 1571.368408203125 4.7757492961999075 52989.0 52989.0 0.0
-7.7507219314575195 1200.61474609375 1571.3809814453125 4.774545396805091 13007.0 35994.0 0.9880000000000008
-7.53271484375 1200.5211181640625 1572.1885986328125 4.761117450288142 52416.0 52416.0 0.0
-7.480358600616455 1200.5123291015625 1572.274169921875 4.7541019200407435 34493.0 34989.0 0.05600000000000002
-7.172016143798828 1200.42626953125 1573.18505859375 4.730681358250396 49138.0 52432.0 0.028
-6.567117691040039 1200.3045654296875 1574.07470703125 4.815612017420805 34443.0 34443.0 0.0
-6.496244430541992 1200.21484375 1574.3372802734375 4.850146798212427 48714.0 48714.0 0.0
-6.203108787536621 1200.1400146484375 1574.8310546875 4.924295186091654 48122.0 34113.0 0.8880000000000007
-6.094593524932861 1200.0616455078125 1575.049560546875 4.927932017185913 48540.0 34451.0 0.16400000000000012
-5.660503387451172 1199.5567626953125 1576.037841796875 5.01201951286617 48221.0 52054.0 0.5600000000000004
-5.493241786956787 1199.395751953125 1576.5079345703125 5.120907317873147 52054.0 52051.0 0.33600000000000024
-5.2596540451049805 1199.056884765625 1577.4000244140625 5.296960065662157 52051.0 20373.0 0.07200000000000004
-5.250059604644775 1199.0198974609375 1577.4862060546875 5.314133426704285 52051.0 52051.0 0.0
-5.249923229217529 1199.0194091796875 1577.4873046875 5.314502889867828 28166.0 52051.0 0.9960000000000008
-5.2159104347229 1198.9083251953125 1577.74609375 5.406499217590003 28166.0 28166.0 0.0
-5.009974002838135 1198.644287109375 1578.2918701171875 5.623696681262653 90520.0 90520.0 0.0
-5.009515762329102 1198.643310546875 1578.29296875 5.623946564180358 70186.0 90520.0 0.9960000000000008
-4.895431995391846 1198.40478515625 1578.557861328125 5.686167410688786 70186.0 70186.0 0.0
-4.845621585845947 1196.960693359375 1582.338134765625 6.057164183868515 31410.0 31410.0 0.0
-4.845170497894287 1196.957763671875 1582.341796875 6.058219300298664 90537.0 31410.0 0.9960000000000008
-4.732903003692627 1196.2310791015625 1583.2528076171875 6.320943291405807 90537.0 90537.0 0.0
-4.6751604080200195 1195.8428955078125 1584.05322265625 6.489334255345005 90540.0 90536.0 0.47600000000000037
-4.742090225219727 1195.7010498046875 1584.54541015625 6.492639717504017 90538.0 90469.0 0.032
-4.783064842224121 1195.3233642578125 1585.4410400390625 6.527091161986658 90416.0 88803.0 0.6880000000000005
-4.733641624450684 1194.0762939453125 1587.6473388671875 6.899272920173452 90733.0 90733.0 0.0
-4.776971817016602 1193.85595703125 1588.0491943359375 6.917326399237795 90742.0 90547.0 0.10800000000000007
-5.200267314910889 1192.0487060546875 1590.35595703125 7.2436910984955825 85789.0 90188.0 0.5600000000000004
-5.472641468048096 1191.472412109375 1591.42724609375 7.507788711800822 88623.0 50991.0 0.6400000000000005
-6.038562297821045 1189.735107421875 1593.20166015625 7.988454537917274 91431.0 91431.0 0.0
-6.141444683074951 1189.4417724609375 1593.62890625 8.11665717675679 88643.0 88643.0 0.0
-6.761193752288818 1188.21435546875 1594.5931396484375 8.190064033792181 91433.0 91433.0 0.0
-6.830807685852051 1188.154541015625 1594.64697265625 8.18521413079152 249028.0 70368.0 0.6000000000000004
-6.875380992889404 1188.105712890625 1594.6949462890625 8.185658421121099 70368.0 249030.0 0.008
-7.8936767578125 1186.3785400390625 1596.413330078125 8.581827271410305 101964.0 101964.0 0.0
